wd_id	emp_hash	wd_start	wd_stop	shift_id	icecream_van_id	area_id	icecream_van_zone_id	shift_start	shift_stop
104689	56af544512ec08c1ea9cd45752e3fbe56f8005bc9065ab723dc489d8a226e5b0	2026-05-01 09:47:20	2026-05-01 21:45:13	168066	34	10	1	2026-05-01 15:35:30	2026-05-01 21:45:13
104698	70f9866f3ee449afebf4ca314a4cbf9934aed192ea00772601f8fa04d2fb3ab5	2026-05-01 10:02:40	2026-05-01 21:02:37	168071	14	10	20	2026-05-01 15:51:14	2026-05-01 21:02:37
104700	b4d547392644e4c6398e28083c9253cf90f4e5637cf8c10a29b86eb36581b7ab	2026-05-01 10:04:49	2026-05-01 23:04:17	168078	101	10	17	2026-05-01 16:03:44	2026-05-01 23:04:17
104741	b9008da6080ca928ee916ec4701c23335ebbe17a60f7bc875f3557af2b53b145	2026-05-01 11:04:03	2026-05-01 22:20:16	168079	5	10	14	2026-05-01 16:04:32	2026-05-01 22:20:16
104731	291eca01676575bfbea9fb9fc70217d351c2712330b9fb6864232a2600507d15	2026-05-01 10:40:08	2026-05-02 01:45:03	168087	11	10	33	2026-05-01 16:29:14	2026-05-01 21:05:43
104686	3b6091d7ebbe75f77cb34ddefad0716483c14dd1184937a2aafb5901a563ce89	2026-05-01 09:33:22	2026-05-01 19:12:47	168088	102	10	6	2026-05-01 16:31:25	2026-05-01 19:12:47
104732	e22a1a0f8128cd693e2d57314b8c23e5d896e261401198d587c6959e43016baf	2026-05-01 10:40:22	2026-05-01 20:58:12	168090	9	10	21	2026-05-01 16:37:21	2026-05-01 16:56:28
104732	e22a1a0f8128cd693e2d57314b8c23e5d896e261401198d587c6959e43016baf	2026-05-01 10:40:22	2026-05-01 20:58:12	168100	9	10	21	2026-05-01 17:11:46	2026-05-01 20:58:12
104730	81410de9cd1f635cd7cef0fdeb56cb5c75d4d8aff958465c0e0e89cec975540a	2026-05-01 10:37:19	2026-05-01 21:25:52	168103	10	10	8	2026-05-01 17:22:36	2026-05-01 21:25:52
104729	e9c6ab7b4e1971252d7515a06bf5b550168370bc932ab8a457f9f80cc99a4624	2026-05-01 10:35:54	2026-05-01 21:48:49	168104	8	10	31	2026-05-01 17:26:15	2026-05-01 21:48:49
104717	604064d1fb81b4325fd74b22c23ccfe5f9e25f28b3ddfb20d029eb57a4ae77da	2026-05-01 10:21:27	2026-05-01 21:14:32	168109	13	10	19	2026-05-01 17:47:57	2026-05-01 21:14:32
104739	1836c8836a9df00376f2241cd2cccab3e647d4e6c318ce4f92bb9e898ab959a2	2026-05-01 11:02:51	2026-05-01 21:42:12	168115	35	10	12	2026-05-01 18:44:55	2026-05-01 21:42:12
104740	18e07447af298ccb8f423f63ef433ad45fa406ffdd1f079eb7bab6b8c4ce5a08	2026-05-01 11:03:15	2026-05-01 22:15:51	168116	91	10	2	2026-05-01 18:51:57	2026-05-01 22:15:51
104731	291eca01676575bfbea9fb9fc70217d351c2712330b9fb6864232a2600507d15	2026-05-01 10:40:08	2026-05-02 01:45:03	168122	11	10	33	2026-05-01 21:06:11	2026-05-02 01:45:03
